x,ell,reference_mp,forward_double,backward_double,abs_error_forward,rel_error_forward,abs_error_backward,rel_error_backward
0.1,48,0.0167081284450109611110449356698,1.67081284450110133e-02,-3.59427702038947305e-01,5.22133500304921206e-17,3.12502685159108905e-15,3.76135830483958267e-01,2.25121462120595695e+01
0.1,49,-0.110261852450519898910877026396,-1.10261852450519865e-01,-1.78011955027126995e-01,3.39676312194975360e-17,3.08063309880817924e-16,6.77501025766071019e-02,6.14447345758226016e-01
0.1,50,-0.0382058126613136818731776881828,-3.82058126613137317e-02,3.16992780902797200e-01,4.97864403544303337e-17,1.30311167035698015e-15,3.55198593564110876e-01,9.29697783719116444e+00
0.5,0,1.0,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.5,1,0.5,5.00000000000000000e-01,-7.32414422606569548e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.82414422606569548e+00,1.56482884521313910e+01
0.5,2,-0.125,-1.25000000000000000e-01,-5.99310816954927184e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.86810816954927184e+00,4.69448653563941747e+01
0.5,3,-0.4375,-4.37500000000000000e-01,-1.11493990580595864e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.26006009419404164e-01,7.45156592958638009e-01
0.5,4,-0.2890625,-2.89062500000000000e-01,4.39727388540393349e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.68633638540393349e+00,1.62121907386946873e+01
0.5,5,0.08984375,8.98437500000000000e-02,4.04674168932801681e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.95689793932801681e+00,4.40419944551292275e+01
0.5,6,0.3232421875,3.23242187500000000e-01,4.51183107140717063e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.78123876785928315e-01,8.60419485887584767e-01
0.5,7,0.22314453125,2.23144531250000056e-01,-3.42674015947523358e+00,5.55111512312578270e-17,2.48767697421479268e-16,3.64988469072523358e+00,1.63565948503397784e+01
0.5,8,-0.073638916015625,-7.36389160156249445e-02,-3.25204742138284431e+00,5.55111512312578270e-17,7.53829011001183750e-16,3.17840850536721931e+00,4.31620762137890779e+01
0.5,9,-0.2678985595703125,-2.67898559570312500e-01,-2.53868673280343120e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.42511692242278198e-01,9.05237014455199773e-01
0.5,10,-0.188228607177734375,-1.88228607177734375e-01,2.90272515528292718e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.09095376246066156e+00,1.64212752185008561e+01
0.5,11,0.0638713836669921875,6.38713836669921597e-02,2.79386207306827927e+00,2.77555756156289135e-17,4.34554162163432121e-16,2.72999068940128709e+00,4.27420001363162427e+01
0.5,12,0.2337529659271240234375,2.33752965927123968e-01,1.66197610144177763e-02,5.55111512312578270e-17,2.37477847654622958e-16,2.17133204912706240e-01,9.28900320265458213e-01
0.5,13,0.16580426692962646484375,1.65804266929626437e-01,-2.56296906647224088e+00,2.77555756156289135e-17,1.67399646158741004e-16,2.72877333340186734e+00,1.64577992106805127e+01
0.5,14,-0.0571736395359039306640625,-5.71736395359039029e-02,-2.48686709218304891e+00,2.77555756156289135e-17,4.85461059343597528e-16,2.42969345264714498e+00,4.24967427711392247e+01
0.5,15,-0.21001850068569183349609375,-2.10018500685691778e-01,-1.18670604028562263e-02,5.55111512312578270e-17,2.64315529584388178e-16,1.98151440282835600e-01,9.43495166549083386e-01
0.5,16,-0.149855135474354028701782226563,-1.49855135474354001e-01,2.31994168415634139e+00,2.77555756156289135e-17,1.85216045668177712e-16,2.46979681963069542e+00,1.64812291004426257e+01
0.5,17,0.0522168397437781095504760742187,5.22168397437780818e-02,2.26287710323678448e+00,2.77555756156289135e-17,5.31544531454263726e-16,2.21066026349300637e+00,4.23361558137270677e+01
0.5,18,0.192296222143340855836868286133,1.92296222143340800e-01,8.96337088810656574e-03,5.55111512312578270e-17,2.88675204393141301e-16,1.83332851255234297e-01,9.53387691197463472e-01
0.5,19,0.137767210224410519003868103027,1.37767210224410491e-01,-2.13505081562274457e+00,2.77555756156289135e-17,2.01467211032418759e-16,2.27281802584715509e+00,1.64975252249424003e+01
0.5,20,-0.0483583810673735570162534713745,-4.83583810673735293e-02,-2.09018974757587728e+00,2.77555756156289135e-17,5.73955848045439453e-16,2.04183136650850372e+00,4.22229057598887820e+01
0.5,21,-0.178413857922350871376693248749,-1.78413857922350816e-01,-7.04159585002833450e-03,5.55111512312578270e-17,3.11136992819343331e-16,1.71372262072322534e-01,9.60532237058104643e-01
0.5,22,-0.128198724677986319875344634056,-1.28198724677986320e-01,1.98829956310535527e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.11649828778334159e+00,1.65095112537166813e+01
0.5,23,0.0452449377842185640474781394005,4.52449377842185085e-02,1.95181109906830930e+00,5.55111512312578270e-17,1.22690302937315823e-15,1.90656616128409073e+00,4.21387729689640764e+01
0.5,24,0.167159446063450900510360952467,1.67159446063450845e-01,5.69461986175423280e-03,5.55111512312578270e-17,3.32085039395181620e-16,1.61464826201696665e-01,9.65933005906273179e-01
0.5,25,0.120381116869332061014574719593,1.20381116869332047e-01,-1.86815792764105759e+00,1.38777878078144568e-17,1.15282098793601761e-16,1.98853904451038965e+00,1.65186957574820781e+01
0.5,26,-0.0426641412083963444956680177711,-4.26641412083963167e-02,-1.83770740966887769e+00,2.77555756156289135e-17,6.50559810405057197e-16,1.79504326846048134e+00,4.20738169717855470e+01
0.5,27,-0.157796621504634693167190562235,-1.57796621504634638e-01,-4.70889768732423320e-03,5.55111512312578270e-17,3.51789225282161035e-16,1.53087723817310450e-01,9.70158437852321698e-01
