x,l,forward,backward,abs_diff_forward_backward
0.90000000000000002,0,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00
0.90000000000000002,1,9.00000000000000022e-01,1.86695964775833056e+00,9.66959647758330543e-01
0.90000000000000002,2,7.15000000000000080e-01,2.02039552447374637e+00,1.30539552447374629e+00
0.90000000000000002,3,4.72500000000000253e-01,1.78595352153839926e+00,1.31345352153839912e+00
0.90000000000000002,4,2.07937500000000219e-01,1.29758015306766916e+00,1.08964265306766883e+00
0.90000000000000002,5,-4.11412499999998515e-02,6.73317030738904698e-01,7.14458280738904605e-01
0.90000000000000002,6,-2.41164312499999950e-01,2.96563064961351992e-02,2.70820618996135132e-01
0.90000000000000002,7,-3.67824993750000051e-01,-5.27560485489806497e-01,1.59735491739806446e-01
0.90000000000000002,8,-4.09685903515625061e-01,-9.16207587448166771e-01,5.06521683932541711e-01
0.90000000000000002,9,-3.69510485976562497e-01,-1.08861024489316649e+00,7.19099758916603937e-01
0.90000000000000002,10,-2.63145617855859271e-01,-1.03693669006396472e+00,7.73791072208105390e-01
0.90000000000000002,11,-1.16213392519101399e-01,-7.92000090297933612e-01,6.75786697778832268e-01
0.90000000000000002,12,4.07487142724210494e-02,-4.15674856538634618e-01,4.56423570811055668e-01
0.90000000000000002,13,1.77800521642976189e-01,1.16397547273787479e-02,1.66160766915597446e-01
0.90000000000000002,14,2.70772813598774864e-01,4.06187083919825276e-01,1.35414270321050412e-01
0.90000000000000002,15,3.05197542128423871e-01,6.95901754941609219e-01,3.90704212813185348e-01
0.90000000000000002,16,2.78338701337587702e-01,8.32678294004595032e-01,5.54339592667007386e-01
0.90000000000000002,17,1.99029338568916025e-01,7.99771603110042584e-01,6.00742264541126558e-01
0.90000000000000002,18,8.54259023434369436e-02,6.13181916660456960e-01,5.27756014317020017e-01
0.90000000000000002,19,-3.88339761160019781e-02,3.17003629937497255e-01,3.55837606053499234e-01
0.90000000000000002,20,-1.49308235309848547e-01,-2.61814502871263594e-02,1.23126785022722188e-01
0.90000000000000002,21,-2.25371160029208151e-01,-3.47912767349757512e-01,1.22541607320549362e-01
0.90000000000000002,22,-2.53926861437433482e-01,-5.87018801836634574e-01,3.33091940399201092e-01
0.90000000000000002,23,-2.31559668155368520e-01,-7.00877417073436204e-01,4.69317748918067656e-01
0.90000000000000002,24,-1.64777339579629895e-01,-6.72736762498490015e-01,5.07959422918860093e-01
0.90000000000000002,25,-6.83699455893133634e-02,-5.13865328656837650e-01,4.45495383067524287e-01
0.90000000000000002,26,3.77404994977409425e-02,-2.60307673957176855e-01,2.98048173454917797e-01
0.90000000000000002,27,1.32512607828310758e-01,3.49563887896459854e-02,9.75562190386647654e-02
0.90000000000000002,28,1.97870735752227744e-01,3.12808872926116144e-01,1.14938137173888399e-01
0.90000000000000002,29,2.22083300858502808e-01,5.19597113620678175e-01,2.97513812762175367e-01
0.90000000000000002,30,2.01812397959063139e-01,6.17304980613354815e-01,4.15492582654291676e-01
0.90000000000000002,31,1.42483923296692988e-01,5.90391291195252577e-01,4.47907367898559561e-01
0.90000000000000002,32,5.69579410684855070e-02,4.48085369117400600e-01,3.91127428048915093e-01
0.90000000000000002,33,-3.71953331208416116e-02,2.21832508336965245e-01,2.59027841457806884e-01
0.90000000000000002,34,-1.21249724777846207e-01,-4.14799096516239099e-02,7.97698151262223043e-02
0.90000000000000002,35,-1.78999045217018177e-01,-2.89091647794933237e-01,1.10092602577915061e-01
0.90000000000000002,36,-1.99841628392856852e-01,-4.72809984896927771e-01,2.72968356504070919e-01
0.90000000000000002,37,-1.80692685340487602e-01,-5.58278829381366415e-01,3.77586144040878813e-01
0.90000000000000002,38,-1.26384631840715994e-01,-5.31311882685681969e-01,4.04927250844965947e-01
0.90000000000000002,39,-4.85162293236689746e-02,-4.00136357785277730e-01,3.51620128461608727e-01
0.90000000000000002,40,3.69874184218764723e-02,-1.93213290344791289e-01,2.30200708766667761e-01
0.90000000000000002,41,1.13098340875647657e-01,4.68342791530689251e-02,6.62640617225787321e-02
0.90000000000000002,42,1.65046712097951076e-01,2.71911084687397442e-01,1.06864372589446366e-01
0.90000000000000002,43,1.83161468807350153e-01,4.38003680329232759e-01,2.54842211521882578e-01
0.90000000000000002,44,1.64648508804627725e-01,5.13716171095928043e-01,3.49067662291300318e-01
0.90000000000000002,45,1.13983131727272757e-01,4.86144519339946624e-01,3.72161387612673866e-01
0.90000000000000002,46,4.18703389620737054e-02,3.63000183361410156e-01,3.21129844399336450e-01
0.90000000000000002,47,-3.69931210282761075e-02,1.70648243781116732e-01,2.07641364809392825e-01
0.90000000000000002,48,-1.06892037065313972e-01,-5.14704953062666212e-02,5.54215417590473505e-02
0.90000000000000002,49,-1.54204184213156265e-01,-2.58867141667973089e-01,1.04662957454816824e-01
0.90000000000000002,50,-1.70037659943836794e-01,-4.10860161052186701e-01,2.40822501108349907e-01
0.98999999999999999,0,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00
0.98999999999999999,1,9.89999999999999991e-01,4.00644553174896279e-01,5.89355446825103657e-01
0.98999999999999999,2,9.70149999999999846e-01,9.49571614647208295e-02,8.75192838535278961e-01
0.98999999999999999,3,9.40747499999999848e-01,-1.10417052366474824e-01,1.05116455236647477e+00
0.98999999999999999,4,9.02232543749999727e-01,-2.62515414323458263e-01,1.16474795807345810e+00
0.98999999999999999,5,8.55180392962499702e-01,-3.79468826431222817e-01,1.23464921939372241e+00
0.98999999999999999,6,8.00291960101937039e-01,-4.69973074703120774e-01,1.27026503480505770e+00
0.98999999999999999,7,7.38382166962418651e-01,-5.38820073263118315e-01,1.27720224022553697e+00
0.98999999999999999,8,6.70366432334794760e-01,-5.88958320629432763e-01,1.25932475296422752e+00
0.98999999999999999,9,5.97245524499471658e-01,-6.22400883343156131e-01,1.21964640784262768e+00
0.98999999999999999,10,5.20089042482190789e-01,-6.40673573001987240e-01,1.16076261548417792e+00
0.98999999999999999,11,4.40017813473639219e-01,-6.45054068116341139e-01,1.08507188158998025e+00
0.98999999999999999,12,3.58185512124222172e-01,-6.36705985665602436e-01,9.94891497789824664e-01
0.98999999999999999,13,2.75759820260832955e-01,-6.16755717525197311e-01,8.92515537786030322e-01
0.98999999999999999,14,1.93903452711226887e-01,-5.86335893985406753e-01,7.80239346696633640e-01
0.98999999999999999,15,1.13755376245844197e-01,-5.46608231397884392e-01,6.60363607643728590e-01
0.98999999999999999,16,3.64125441447847031e-02,-4.98773013238748286e-01,5.35185557383533017e-01
0.98999999999999999,17,-3.70875413366700546e-02,-4.44069567067279847e-01,4.06982025730609820e-01
0.98999999999999999,18,-1.05783142098719862e-01,-3.83770515212362440e-01,2.77987373113642577e-01
0.98999999999999999,19,-1.68803197421897255e-01,-3.19171671843041960e-01,1.50368474421144704e-01
0.98999999999999999,20,-2.25380587629188778e-01,-2.51578923041248403e-01,2.61983354120596257e-02
